I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A00,Cholera
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A00.0,"CholeraduetoVibriocholerae01,biovarcholerae"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A00.1,"CholeraduetoVibriocholerae01,biovareltor"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A00.9,"Cholera,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01,Typhoidandparatyphoidfevers
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01.0,Typhoidfever
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01.1,ParatyphoidfeverA
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01.2,ParatyphoidfeverB
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01.3,ParatyphoidfeverC
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A01.4,"Paratyphoidfever,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02,Othersalmonellainfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02.0,Salmonellaenteritis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02.1,Salmonellasepsis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02.2,Localizedsalmonellainfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02.8,Otherspecifiedsalmonellainfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A02.9,"Salmonellainfection,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03,Shigellosis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.0,ShigellosisduetoShigelladysenteriae
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.1,ShigellosisduetoShigellaflexneri
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.2,ShigellosisduetoShigellaboydii
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.3,ShigellosisduetoShigellasonnei
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.8,Othershigellosis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A03.9,"Shigellosis,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04,Otherbacterialintestinalinfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.0,EnteropathogenicEscherichiacoliinfection
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.1,EnterotoxigenicEscherichiacoliinfection
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.2,EnteroinvasiveEscherichiacoliinfection
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.3,EnterohaemorrhagicEscherichiacoliinfection
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.4,OtherintestinalEscherichiacoliinfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.5,Campylobacterenteritis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.6,EnteritisduetoYersiniaenterocolitica
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.7,EnterocolitisduetoClostridiumdifficile
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.8,Otherspecifiedbacterialintestinalinfections
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A04.9,"Bacterialintestinalinfection,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05,"Otherbacterialfoodborneintoxications,notelsewhereclassified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.0,Foodbornestaphylococcalintoxication
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.1,Botulism
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.2,FoodborneClostridiumperfringens[Clostridiumwelchii]intoxication
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.3,FoodborneVibrioparahaemolyticusintoxication
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.4,FoodborneBacilluscereusintoxication
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.8,Otherspecifiedbacterialfoodborneintoxications
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A05.9,"Bacterialfoodborneintoxication,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06,Amoebiasis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.0,Acuteamoebicdysentery
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.1,Chronicintestinalamoebiasis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.2,Amoebicnondysentericcolitis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.3,Amoebomaofintestine
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.4,Amoebicliverabscess(K77.0*)
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.5,Amoebiclungabscess(J99.8*)
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.6,Amoebicbrainabscess(G07*)
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.7,Cutaneousamoebiasis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.8,Amoebicinfectionofothersites
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A06.9,"Amoebiasis,unspecified"
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07,Otherprotozoalintestinaldiseases
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.0,Balantidiasis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.1,Giardiasis[lambliasis]
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.2,Cryptosporidiosis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.3,Isosporiasis
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.8,Otherspecifiedprotozoalintestinaldiseases
I,I Certain infectious and parasitic diseases,A00-A09,A00-A09 Intestinal infectious diseases,A07.9,"Protozoalintestinaldisease,unspecified"
